Format,OpenLAP Export
Venue,blue max
Vehicle,FE12
Driver,OpenLap
Device
Comment
Date,06/09/2025
Time,02:59:18
Frequency,50





distance,time,speed_max,elevation,speed,long_acc,lat_acc,sum_acc,Fz_aero,Fx_aero,Fz_mass
distance,time,speed_max,elevation,speed,long_acc,lat_acc,sum_acc,Fz_aero,Fx_aero,Fz_mass
m,s,m/s,m,m/s,m/s/s,m/s/s,m/s/s,N,N,N


67.357628,2.020000,82.989777,0.000000,35.854019,-17.823759,2.372859,17.983784,2223.771729,1015.395569,-2648.699951
68.039642,2.040000,86.344421,0.000000,35.502468,-17.685123,1.558544,17.754301,2180.351318,995.569397,-2648.699951
68.731522,2.060000,50.849037,0.000000,35.153709,-17.567554,1.041330,17.600071,2137.766602,976.124878,-2648.699951
69.430923,2.080000,41.818180,0.000000,34.806984,-17.458347,0.630884,17.471134,2095.827637,956.975159,-2648.699951
70.138397,2.100000,41.818180,0.000000,34.462219,-17.352051,0.265517,17.355320,2054.514648,938.111206,-2648.699951
70.855637,2.120000,41.818180,0.000000,34.119373,-17.246347,0.169666,17.248236,2013.824951,919.531921,-2648.699951
71.586418,2.140000,52.864250,0.000000,33.778427,-17.141228,0.619295,17.155212,1973.762573,901.239075,-2648.699951
72.337570,2.160000,86.705299,0.000000,33.439320,-17.036678,1.306507,17.088375,1934.325073,883.231445,-2648.699951
73.095474,2.180000,79.192314,0.000000,33.109245,-16.472427,2.761224,16.750492,1896.324219,865.879883,-2648.699951
73.819267,2.200000,68.827972,0.000000,32.797348,-15.581289,4.733974,16.289160,1860.754883,849.638611,-2648.699951
74.517189,2.220000,69.840034,0.000000,32.480560,-16.011852,2.563603,16.257673,1824.979492,833.303284,-2648.699951
75.186584,2.240000,66.257957,0.000000,32.158009,-15.906100,2.462992,16.155342,1788.914307,816.835571,-2648.699951
75.825233,2.260000,53.967766,0.000000,31.868095,-14.239164,7.616393,16.207857,1756.801147,802.172363,-2648.699951
76.434990,2.280000,42.578434,0.000000,31.616226,-12.420689,10.808264,16.486149,1729.141724,789.542847,-2648.699951
77.023117,2.300000,40.706310,0.000000,31.376923,-11.967962,11.347381,16.493010,1703.056396,777.631958,-2648.699951
77.596092,2.320000,43.065353,0.000000,31.126085,-12.592832,10.273867,16.257532,1675.948975,765.254456,-2648.699951
78.172806,2.340000,47.009300,0.000000,30.864178,-13.152893,8.895288,15.908094,1647.872803,752.434570,-2648.699951
78.753441,2.360000,54.308624,0.000000,30.586945,-13.918201,6.892716,15.553686,1618.409180,738.981262,-2648.699951
79.335159,2.380000,60.983612,0.000000,30.298124,-14.509876,5.422581,15.497721,1587.990967,725.091980,-2648.699951
79.916977,2.400000,66.114532,0.000000,30.007320,-14.615246,4.420098,15.272068,1557.649658,711.237854,-2648.699951
80.498245,2.420000,69.940155,0.000000,29.715847,-14.652977,3.707806,15.115626,1527.524536,697.482422,-2648.699951
81.078476,2.440000,72.751984,0.000000,29.424473,-14.650755,3.192873,14.995001,1497.707886,683.867798,-2648.699951
81.657288,2.460000,74.786484,0.000000,29.133841,-14.619923,2.819559,14.890105,1468.288330,670.434631,-2648.699951
82.234688,2.480000,76.302513,0.000000,28.844072,-14.578680,2.536964,14.798382,1439.241089,657.171326,-2648.699951
82.810715,2.500000,77.394379,0.000000,28.555267,-14.530323,2.326132,14.715673,1410.571533,644.080505,-2648.699951
83.385376,2.520000,79.667236,0.000000,28.267860,-14.461243,1.955397,14.596243,1382.318359,631.179932,-2648.699951
83.956841,2.540000,72.993874,0.000000,27.988127,-14.107800,2.956834,14.578969,1355.083618,618.744263,-2648.699951
84.521523,2.560000,51.181969,0.000000,27.721796,-13.390665,6.222777,14.766248,1329.406982,607.020081,-2648.699951
85.076988,2.580000,53.240028,0.000000,27.455444,-13.385398,5.767965,14.602299,1303.970459,595.405457,-2648.699951
85.622757,2.600000,76.185883,0.000000,27.174772,-14.058543,2.299205,14.285048,1277.449829,583.295959,-2648.699951
86.159187,2.620000,78.235382,0.000000,26.895939,-14.038260,1.953544,14.173545,1251.387451,571.395630,-2648.699951
86.687325,2.640000,61.342293,0.000000,26.631641,-13.405328,4.273062,14.188077,1226.922729,560.224731,-2648.699951
87.207672,2.660000,45.238243,0.000000,26.387310,-12.422148,7.106621,14.414450,1204.510498,549.991089,-2648.699951
87.720901,2.680000,36.164322,0.000000,26.169809,-11.088808,9.536429,14.703970,1184.721069,540.955078,-2648.699951
88.227760,2.700000,31.366919,0.000000,25.983664,-9.386508,11.533352,14.883528,1167.912476,533.280090,-2648.699951
88.727287,2.720000,28.913998,0.000000,25.828333,-8.081911,12.947659,15.290588,1153.996094,526.925781,-2648.699951
89.220825,2.740000,27.477188,0.000000,25.691803,-7.108633,13.856785,15.592971,1141.832275,521.371643,-2648.699951
89.709160,2.760000,26.746002,0.000000,25.560589,-6.585299,14.292912,15.737014,1130.197754,516.059204,-2648.699951
90.192368,2.780000,26.627512,0.000000,25.429462,-6.581134,14.246941,15.693522,1118.621094,510.773193,-2648.699951
90.647072,2.800000,39.176872,0.000000,25.186787,-10.038525,9.203394,14.537914,1097.439941,501.101685,-2648.699951
91.098778,2.820000,53.531723,0.000000,24.933552,-12.658445,4.882898,13.656052,1075.472412,491.071106,-2648.699951
91.547203,2.840000,70.373604,0.000000,24.669918,-13.091558,2.672733,13.486850,1052.873779,480.752319,-2648.699951
91.997292,2.860000,79.844101,0.000000,24.407955,-13.271178,1.439626,13.350393,1030.639893,470.600098,-2648.699951
92.449104,2.880000,81.758194,0.000000,24.147709,-13.190940,1.208104,13.247505,1008.779724,460.618530,-2648.699951
92.901215,2.900000,83.187584,0.000000,23.889256,-13.111256,1.033886,13.152357,987.310974,450.815704,-2648.699951
93.353622,2.920000,84.157715,0.000000,23.632498,-13.032093,0.913965,13.064545,966.212891,441.182129,-2648.699951
93.805595,2.940000,84.926231,0.000000,23.377190,-12.953378,0.817135,12.979224,945.430420,431.692657,-2648.699951
94.256958,2.960000,85.405205,0.000000,23.123957,-12.875303,0.753467,12.897480,925.101196,422.410156,-2648.699951
94.707909,2.980000,85.814796,0.000000,22.871502,-12.797468,0.697211,12.816459,904.941101,413.204865,-2648.699951
95.157448,3.000000,85.981827,0.000000,22.621758,-12.720469,0.666867,12.737970,885.372131,404.269470,-2648.699951
95.606979,3.020000,86.148849,0.000000,22.372013,-12.643469,0.636523,12.659482,865.803101,395.334045,-2648.699951
96.054718,3.040000,86.056076,0.000000,22.125618,-12.567501,0.630694,12.583317,846.963623,386.731750,-2648.699951
96.502449,3.060000,85.960815,0.000000,21.879253,-12.491544,0.625099,12.507174,828.131165,378.132660,-2648.699951
96.949478,3.080000,85.629211,0.000000,21.635313,-12.416334,0.638730,12.432775,809.829102,369.775757,-2648.699951
97.396301,3.100000,85.223099,0.000000,21.392138,-12.341358,0.658424,12.358927,791.694214,361.495209,-2648.699951
97.843712,3.120000,84.523758,0.000000,21.150661,-12.266909,0.699455,12.286963,773.934570,353.385986,-2648.699951
98.291542,3.140000,83.613800,0.000000,20.910400,-12.192833,0.755812,12.216352,756.444214,345.399719,-2648.699951
98.741356,3.160000,81.758720,0.000000,20.671455,-12.119163,0.879367,12.152118,739.249329,337.548370,-2648.699951
99.193069,3.180000,78.998650,0.000000,20.433769,-12.045879,1.067266,12.093990,722.337097,329.826111,-2648.699951
99.627350,3.200000,61.335957,0.000000,20.221851,-11.299556,3.504112,12.338064,707.423828,323.016541,-2648.699951
100.050194,3.220000,33.906506,0.000000,20.026823,-10.112141,7.414855,12.780197,693.820618,316.805176,-2648.699951
100.455849,3.240000,25.324064,0.000000,19.873966,-8.669193,9.668222,13.150532,683.273499,311.989258,-2648.699951
100.856354,3.260000,22.380054,0.000000,19.733723,-7.149797,11.425755,13.499387,673.640625,307.590790,-2648.699951
101.252167,3.280000,22.833956,0.000000,19.575842,-7.547847,10.866861,13.252754,662.937561,302.703674,-2648.699951
101.647125,3.300000,23.514673,0.000000,19.415283,-8.053409,10.164419,12.971974,652.081665,297.746765,-2648.699951
102.037781,3.320000,24.254251,0.000000,19.242720,-8.432486,9.508208,12.724563,640.572266,292.491455,-2648.699951
102.426971,3.340000,25.009804,0.000000,19.064711,-8.852880,8.869325,12.542635,628.764099,287.099762,-2648.699951
102.812729,3.360000,25.803148,0.000000,18.873817,-9.371031,8.271440,12.515650,616.249146,281.385315,-2648.699951
103.196320,3.380000,26.619223,0.000000,18.680922,-9.689585,7.708502,12.387911,603.718384,275.663635,-2648.699951
103.577682,3.400000,27.458351,0.000000,18.485996,-9.805460,7.181065,12.157867,591.171692,269.934692,-2648.699951
103.956345,3.420000,28.327215,0.000000,18.289116,-9.895025,6.699077,11.955087,578.669006,264.225830,-2648.699951
104.333961,3.440000,29.207485,0.000000,18.091482,-9.974496,6.234526,11.762763,566.183105,258.524658,-2648.699951
104.708694,3.460000,30.137548,0.000000,17.891720,-10.039124,5.820229,11.608680,553.794373,252.867828,-2648.699951
105.082825,3.480000,31.098927,0.000000,17.691158,-10.107399,5.417046,11.469984,541.431458,247.222809,-2648.699951
